Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	tpm_RFfr	Gene Name_star	tpm_star
tRNA	TRA-AGC1-1	SGI75460075	41237	TRA-AGC1-1	1.004798	TRA-AGC1-1	0.0
tRNA	TRA-AGC10-1	SGI75460075	41238	TRA-AGC10-1	0.0	TRA-AGC10-1	0.0
tRNA	TRA-AGC11-1	SGI75460075	41239	TRA-AGC11-1	8.149764	TRA-AGC11-1	15.237204
tRNA	TRA-AGC12-1	SGI75460075	41240	TRA-AGC12-1	0.0	TRA-AGC12-1	0.0
tRNA	TRA-AGC12-3	SGI75460075	41241	TRA-AGC12-3	0.0	TRA-AGC12-3	0.0
tRNA	TRA-AGC13-2	SGI75460075	41242	TRA-AGC13-2	0.0	TRA-AGC13-2	0.0
tRNA	TRA-AGC14-1	SGI75460075	41243	TRA-AGC14-1	0.0	TRA-AGC14-1	0.0
tRNA	TRA-AGC14-2	SGI75460075	41244	TRA-AGC14-2	0.0	TRA-AGC14-2	0.0
tRNA	TRA-AGC15-1	SGI75460075	41245	TRA-AGC15-1	0.0	TRA-AGC15-1	0.577167
tRNA	TRA-AGC2-1	SGI75460075	41246	TRA-AGC2-1	10.743466	TRA-AGC2-1	0.0
tRNA	TRA-AGC2-2	SGI75460075	41247	TRA-AGC2-2	59.014506	TRA-AGC2-2	0.0
tRNA	TRA-AGC24-1	SGI75460075	41249	TRA-AGC24-1	0.0	TRA-AGC24-1	0.0
tRNA	TRA-AGC3-1	SGI75460075	41250	TRA-AGC3-1	29.719264	TRA-AGC3-1	0.0
tRNA	TRA-AGC4-1	SGI75460075	41251	TRA-AGC4-1	29.274282	TRA-AGC4-1	0.0
tRNA	TRA-AGC5-1	SGI75460075	41252	TRA-AGC5-1	0.857391	TRA-AGC5-1	0.0
tRNA	TRA-AGC6-1	SGI75460075	41253	TRA-AGC6-1	0.028124	TRA-AGC6-1	0.0
tRNA	TRA-AGC7-1	SGI75460075	41254	TRA-AGC7-1	1.631175	TRA-AGC7-1	0.0
tRNA	TRA-AGC8-1	SGI75460075	41255	TRA-AGC8-1	76.618751	TRA-AGC8-1	139.568557
tRNA	TRA-AGC8-2	SGI75460075	41256	TRA-AGC8-2	41.384752	TRA-AGC8-2	0.596406
tRNA	TRA-AGC9-1	SGI75460075	41257	TRA-AGC9-1	0.077051	TRA-AGC9-1	0.0
tRNA	TRA-CGC1-1	SGI75460075	41258	TRA-CGC1-1	70.999994	TRA-CGC1-1	0.0
tRNA	TRA-CGC2-1	SGI75460075	41259	TRA-CGC2-1	1.053909	TRA-CGC2-1	0.0
tRNA	TRA-CGC3-1	SGI75460075	41260	TRA-CGC3-1	8.802723	TRA-CGC3-1	15.029452
tRNA	TRA-CGC4-1	SGI75460075	41261	TRA-CGC4-1	1.905747	TRA-CGC4-1	0.0
tRNA	TRA-TGC1-1	SGI75460075	41262	TRA-TGC1-1	0.212312	TRA-TGC1-1	0.0
tRNA	TRA-TGC2-1	SGI75460075	41264	TRA-TGC2-1	4.350218	TRA-TGC2-1	0.0
tRNA	TRA-TGC3-1	SGI75460075	41265	TRA-TGC3-1	37.949721	TRA-TGC3-1	0.70222
tRNA	TRA-TGC3-2	SGI75460075	41266	TRA-TGC3-2	211.308331	TRA-TGC3-2	6.963678
tRNA	TRA-TGC4-1	SGI75460075	41267	TRA-TGC4-1	113.902079	TRA-TGC4-1	201.985681
tRNA	TRA-TGC5-1	SGI75460075	41268	TRA-TGC5-1	0.038748	TRA-TGC5-1	0.0
tRNA	TRA-TGC6-1	SGI75460075	41269	TRA-TGC6-1	0.334533	TRA-TGC6-1	0.0
tRNA	TRA-TGC7-1	SGI75460075	41270	TRA-TGC7-1	0.0	TRA-TGC7-1	0.0
tRNA	TRC-GCA1-1	SGI75460075	41536	TRC-GCA1-1	0.678719	TRC-GCA1-1	0.810804
tRNA	TRC-GCA10-1	SGI75460075	41537	TRC-GCA10-1	0.048748	TRC-GCA10-1	0.0
tRNA	TRC-GCA11-1	SGI75460075	41538	TRC-GCA11-1	0.31068	TRC-GCA11-1	0.0
tRNA	TRC-GCA12-1	SGI75460075	41539	TRC-GCA12-1	0.0	TRC-GCA12-1	0.0
tRNA	TRC-GCA13-1	SGI75460075	41540	TRC-GCA13-1	0.10786	TRC-GCA13-1	0.0
tRNA	TRC-GCA14-1	SGI75460075	41541	TRC-GCA14-1	1.497848	TRC-GCA14-1	0.0
tRNA	TRC-GCA15-1	SGI75460075	41542	TRC-GCA15-1	0.024999	TRC-GCA15-1	0.0
tRNA	TRC-GCA16-1	SGI75460075	41543	TRC-GCA16-1	1.444726	TRC-GCA16-1	1.014317
tRNA	TRC-GCA17-1	SGI75460075	41544	TRC-GCA17-1	0.363178	TRC-GCA17-1	0.0
tRNA	TRC-GCA18-1	SGI75460075	41545	TRC-GCA18-1	0.047498	TRC-GCA18-1	0.429134
tRNA	TRC-GCA19-1	SGI75460075	41546	TRC-GCA19-1	0.053998	TRC-GCA19-1	0.0
tRNA	TRC-GCA2-1	SGI75460075	41547	TRC-GCA2-1	3.8442	TRC-GCA2-1	0.0
tRNA	TRC-GCA2-2	SGI75460075	41548	TRC-GCA2-2	21.134415	TRC-GCA2-2	0.292592
tRNA	TRC-GCA2-3	SGI75460075	41549	TRC-GCA2-3	2.516551	TRC-GCA2-3	0.70222
tRNA	TRC-GCA2-4	SGI75460075	41550	TRC-GCA2-4	8.972229	TRC-GCA2-4	7.70491
tRNA	TRC-GCA20-1	SGI75460075	41551	TRC-GCA20-1	0.0	TRC-GCA20-1	0.0
tRNA	TRC-GCA21-1	SGI75460075	41552	TRC-GCA21-1	0.0	TRC-GCA21-1	0.468147
tRNA	TRC-GCA22-1	SGI75460075	41553	TRC-GCA22-1	0.0	TRC-GCA22-1	0.0
tRNA	TRC-GCA23-1	SGI75460075	41554	TRC-GCA23-1	0.036673	TRC-GCA23-1	0.491554
tRNA	TRC-GCA3-1	SGI75460075	41556	TRC-GCA3-1	0.090221	TRC-GCA3-1	0.110534
tRNA	TRC-GCA4-1	SGI75460075	41557	TRC-GCA4-1	23.033875	TRC-GCA4-1	37.724797
tRNA	TRC-GCA5-1	SGI75460075	41558	TRC-GCA5-1	0.080818	TRC-GCA5-1	2.501056
tRNA	TRC-GCA6-1	SGI75460075	41559	TRC-GCA6-1	0.089857	TRC-GCA6-1	2.984433
tRNA	TRC-GCA7-1	SGI75460075	41560	TRC-GCA7-1	0.32615	TRC-GCA7-1	0.0
tRNA	TRC-GCA8-1	SGI75460075	41561	TRC-GCA8-1	0.125689	TRC-GCA8-1	0.0
tRNA	TRC-GCA9-1	SGI75460075	41562	TRC-GCA9-1	0.072497	TRC-GCA9-1	0.0
tRNA	TRC-GCA9-2	SGI75460075	41563	TRC-GCA9-2	0.072497	TRC-GCA9-2	0.0
tRNA	TRC-GCA9-3	SGI75460075	41564	TRC-GCA9-3	0.072497	TRC-GCA9-3	0.0
tRNA	TRC-GCA9-4	SGI75460075	41565	TRC-GCA9-4	0.047498	TRC-GCA9-4	0.0
tRNA	TRD-GTC1-1	SGI75460075	41568	TRD-GTC1-1	2206.517641	TRD-GTC1-1	7251.997558
tRNA	TRD-GTC2-1	SGI75460075	41570	TRD-GTC2-1	1692.375543	TRD-GTC2-1	0.0
tRNA	TRD-GTC2-10	SGI75460075	41571	TRD-GTC2-10	107.316455	TRD-GTC2-10	8.680215
tRNA	TRD-GTC2-11	SGI75460075	41572	TRD-GTC2-11	2947.708779	TRD-GTC2-11	1.22103
tRNA	TRD-GTC2-2	SGI75460075	41573	TRD-GTC2-2	3115.093049	TRD-GTC2-2	0.0
tRNA	TRD-GTC2-3	SGI75460075	41574	TRD-GTC2-3	3533.755832	TRD-GTC2-3	0.0
tRNA	TRD-GTC2-4	SGI75460075	41575	TRD-GTC2-4	4259.008761	TRD-GTC2-4	0.0
tRNA	TRD-GTC2-5	SGI75460075	41576	TRD-GTC2-5	5668.40591	TRD-GTC2-5	0.0
tRNA	TRD-GTC2-6	SGI75460075	41577	TRD-GTC2-6	114.544637	TRD-GTC2-6	38.963438
tRNA	TRD-GTC2-7	SGI75460075	41578	TRD-GTC2-7	247.865214	TRD-GTC2-7	3832.919602
tRNA	TRD-GTC2-8	SGI75460075	41579	TRD-GTC2-8	6874.053227	TRD-GTC2-8	303.076031
tRNA	TRD-GTC2-9	SGI75460075	41580	TRD-GTC2-9	863.887978	TRD-GTC2-9	33.687037
tRNA	TRD-GTC3-1	SGI75460075	41581	TRD-GTC3-1	9.149164	TRD-GTC3-1	106.7764
tRNA	TRE-CTC1-1	SGI75460075	41596	TRE-CTC1-1	968.356952	TRE-CTC1-1	318.222502
tRNA	TRE-CTC1-2	SGI75460075	41597	TRE-CTC1-2	2877.8878790000003	TRE-CTC1-2	0.0
tRNA	TRE-CTC1-3	SGI75460075	41598	TRE-CTC1-3	3307.1669110000003	TRE-CTC1-3	0.0
tRNA	TRE-CTC1-4	SGI75460075	41599	TRE-CTC1-4	4110.180349	TRE-CTC1-4	0.0
tRNA	TRE-CTC1-5	SGI75460075	41600	TRE-CTC1-5	6137.226159	TRE-CTC1-5	0.0
tRNA	TRE-CTC1-6	SGI75460075	41601	TRE-CTC1-6	940.182634	TRE-CTC1-6	0.0
tRNA	TRE-CTC1-7	SGI75460075	41602	TRE-CTC1-7	2198.120369	TRE-CTC1-7	14.853896
tRNA	TRE-CTC2-1	SGI75460075	41611	TRE-CTC2-1	166.09814999999998	TRE-CTC2-1	477.870219
tRNA	TRE-TTC1-1	SGI75460075	41615	TRE-TTC1-1	81.418153	TRE-TTC1-1	723.8908289999999
tRNA	TRE-TTC1-2	SGI75460075	41616	TRE-TTC1-2	2387.2907790000004	TRE-TTC1-2	13.351927
tRNA	TRE-TTC2-1	SGI75460075	41620	TRE-TTC2-1	17790.907593000004	TRE-TTC2-1	15932.193725
tRNA	TRE-TTC2-2	SGI75460075	41621	TRE-TTC2-2	1837.81595	TRE-TTC2-2	120.264863
