Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
79501	OR4F5	NC_000001.11	+	65419	71585	0.051646	80.251801	165.713242
100420257	CICP27	NC_000001.11	+	131068	134836	0.009101	14.141883	29.201801
729737	LOC729737	NC_000001.11	-	134773	140566	0.002002	3.110873	6.423691
107126284	SEPTIN14P18	NC_000001.11	-	126642	129225	0.017067	26.520109	54.761799
729759	OR4F29	NC_000001.11	-	450740	451678	0.036963	57.436150	118.600838
100652939	MTND2P28	NC_000001.11	+	629640	630686	0.046800	72.721687	150.164200
107075141	MTCO1P12	NC_000001.11	+	631074	632616	0.031756	49.345081	101.893456
113219467	MIR12136	NC_000001.11	-	632615	632685	0.000000	0.000000	0.000000
106481797	WBP1LP6	NC_000001.11	+	674743	675246	0.194444	302.143097	623.900146
107105354	SEPTIN14P14	NC_000001.11	-	717621	720202	0.005693	8.846251	18.266768
100288667	CICP7	NC_000001.11	+	487055	490819	0.036441	56.625023	116.925926
100132287	LOC100132287	NC_000001.11	-	490756	495445	0.001812	2.815635	5.814050
284593	FAM41C	NC_000001.11	-	868071	876802	0.022446	34.878441	72.021057
388579	TUBB8P11	NC_000001.11	+	873291	874514	0.080065	124.411583	256.899475
643837	LINC01128	NC_000001.11	+	827591	859446	0.025589	39.762295	82.105804
100132630	CICP3	NC_000001.11	+	722046	725822	0.043244	67.196083	138.754288
100288069	LOC100288069	NC_000001.11	-	725759	778634	0.003833	5.956031	12.298704
106480091	RNU6-1199P	NC_000001.11	-	758233	758336	0.000000	0.000000	0.000000
107985728	LOC107985728	NC_000001.11	-	920243	925604	0.054084	84.040169	173.535904
148398	SAMD11	NC_000001.11	+	923923	944574	0.165214	256.723114	530.111694
26155	NOC2L	NC_000001.11	-	944203	959256	0.064900	100.846962	208.240524
84069	PLEKHN1	NC_000001.11	+	966482	975865	0.346853	538.968689	1112.925171
84808	PERM1	NC_000001.11	-	975198	982093	0.577436	897.267517	1852.782227
57801	HES4	NC_000001.11	-	998964	1000097	0.101765	158.130829	326.526917
375790	AGRN	NC_000001.11	+	1020120	1056116	0.239072	428.004456	883.793274
401934	RNF223	NC_000001.11	-	1070967	1074306	0.078144	121.426575	250.735703
100288175	LOC100288175	NC_000001.11	+	1059734	1066453	0.000000	0.000000	0.000000
105378948	LOC105378948	NC_000001.11	-	1065635	1069337	0.026465	41.123493	84.916565
254099	LINC01342	NC_000001.11	+	1137017	1144056	0.028717	44.622837	92.142418
54991	C1orf159	NC_000001.11	-	1081823	1116089	0.145534	226.142700	466.965729
100506376	TTLL10-AS1	NC_000001.11	-	1173056	1179555	0.026769	41.595875	85.891991
254173	TTLL10	NC_000001.11	+	1173880	1197936	0.143177	317.447266	655.502014
8784	TNFRSF18	NC_000001.11	-	1203508	1206592	0.104480	162.349625	335.238342
51150	SDF4	NC_000001.11	-	1216931	1232001	0.100049	155.464371	321.020874
118424	UBE2J2	NC_000001.11	-	1253912	1273854	0.258670	411.163452	849.018066
6339	SCNN1D	NC_000001.11	+	1280436	1292025	0.101467	157.667770	325.570740
54587	MXRA8	NC_000001.11	-	1352689	1363541	0.406922	665.636536	1374.483643
126789	PUSL1	NC_000001.11	+	1308597	1311677	0.204887	318.370300	657.407898
54973	INTS11	NC_000001.11	-	1311600	1324660	0.199187	309.513123	639.118713
102465435	MIR6727	NC_000001.11	-	1312502	1312566	0.000000	0.000000	0.000000
1855	DVL1	NC_000001.11	-	1335278	1349418	0.108084	167.949814	346.802277
102466740	MIR6808	NC_000001.11	-	1339650	1339708	0.016949	26.336750	54.383183
148413	MRPL20-AS1	NC_000001.11	+	1399530	1402046	0.000000	0.000000	0.000000
55052	MRPL20	NC_000001.11	-	1401909	1407293	0.087960	136.679489	282.231689
107074708	RN7SL657P	NC_000001.11	-	1405460	1405752	0.055745	86.621170	178.865448
441869	ANKRD65	NC_000001.11	-	1418420	1421276	0.578261	898.549500	1855.429443
643965	TMEM88B	NC_000001.11	+	1425871	1430255	0.044698	69.455429	143.419632
102724312	LINC01770	NC_000001.11	-	1430157	1434573	0.000000	0.000000	0.000000
64856	VWA1	NC_000001.11	+	1435690	1442882	0.149590	232.445251	479.979950
219293	ATAD3C	NC_000001.11	+	1449689	1470163	0.031510	48.962830	101.104141
81669	CCNL2	NC_000001.11	-	1385711	1399335	0.777876	1221.259766	2521.799072
83858	ATAD3B	NC_000001.11	+	1477849	1497848	0.048319	75.082039	155.038116
55210	ATAD3A	NC_000001.11	+	1512162	1534685	0.042049	171.253357	353.623840
339453	TMEM240	NC_000001.11	-	1534778	1540624	0.033521	52.087688	107.556709
643988	FNDC10	NC_000001.11	-	1598012	1600135	0.090866	141.195068	291.555969
105378586	LOC105378586	NC_000001.11	+	1599433	1607210	0.033299	51.742725	106.844391
29101	SSU72	NC_000001.11	-	1541673	1574863	0.046353	72.027107	148.729935
142678	MIB2	NC_000001.11	+	1615500	1630605	0.239372	560.348572	1157.072876
984	CDK11B	NC_000001.11	-	1635225	1659004	0.144816	227.915695	470.626770
728661	SLC35E2B	NC_000001.11	-	1661478	1692795	0.103380	160.640350	331.708862
100288379	LOC100288379	NC_000001.11	+	1673283	1674435	0.254987	396.219788	818.160645
9906	SLC35E2A	NC_000001.11	-	1727385	1746070	0.038585	59.956547	123.805244
